0000001321,  499233 ,  8.1 , The Grand Budapest Hotel (2014)
0000001222,   64367 ,  8.1 , Persona (1966)
0000001321,  495748 ,  8.1 , Million Dollar Baby (2004)
0000001321,  177936 ,  8.1 , Amores perros (2000)
0000001222,  302054 ,  8.1 , The Princess Bride (1987)
0000001321,  634542 ,  8.1 , Jurassic Park (1993)
0000001222,  164551 ,  8.1 , Hachi: A Dog's Tale (2009)
0000000115,   33059 ,  8.1 , The Message (1976)
0000001222,  100045 ,  8.1 , Kaze no tani no Naushika (1984)
0000001321,   70992 ,  8.1 , Salinui chueok (2003)
0000001123,   71132 ,  8.0 , Stalker (1979)
0000001222,   65106 ,  8.0 , The Grapes of Wrath (1940)
0000001222,   75046 ,  8.0 , Touch of Evil (1958)
0000001321,  689918 ,  8.0 , The Truman Show (1998)
0000001222,  190365 ,  8.0 , Before Sunrise (1995)
0000001222,  199097 ,  8.0 , Annie Hall (1977)
0000000232,   31333 ,  8.0 , Udaan (2010)
0000001321,  176413 ,  8.0 , Gandhi (1982)
0000001321,  507328 ,  8.0 , The Bourne Ultimatum (2007)
0000001321,  231969 ,  8.0 , Zootopia (2016)
0000001321,  387812 ,  8.0 , Rocky (1976)
0000001321,   43566 ,  8.0 , Les diaboliques (1955)
0000001222,  562543 ,  8.0 , Harry Potter and the Deathly Hallows: Part 2 (2011)
0000001222,  596730 ,  8.0 , Donnie Darko (2001)
0000001321,  605998 ,  8.0 , Monsters, Inc. (2001)
0000001213,   80863 ,  8.0 , 8½ (1963)
0000001212,  299301 ,  8.0 , The Wizard of Oz (1939)
0000001321,  617193 ,  8.0 , The Terminator (1984)
0000000123,   50050 ,  8.0 , Chak De! India (2007)
0000001321,  403327 ,  8.0 , Prisoners (2013)
0000001321,  450539 ,  8.0 , Groundhog Day (1993)
0000001321,  474426 ,  8.0 , Twelve Monkeys (1995)
0000001321,  551201 ,  8.0 , Catch Me If You Can (2002)
0000001211,  424756 ,  8.0 , Jaws (1975)
0000001321,  107173 ,  8.0 , La haine (1995)
0000001222,  104883 ,  8.0 , Barry Lyndon (1975)
0000001222,   41448 ,  8.0 , The Best Years of Our Lives (1946)
0000001321,   94294 ,  8.0 , Mou gaan dou (2002)
0000001321,   99412 ,  8.0 , Strangers on a Train (1951)
0000001221,  669701 ,  8.0 , Sin City (2005)
0000001222,   27782 ,  8.0 , Kind Hearts and Coronets (1949)
0000001222,   38825 ,  8.0 , La battaglia di Algeri (1966)
0000001321,  187406 ,  8.0 , Dog Day Afternoon (1975)
0000001321,  830954 ,  8.0 , Pirates of the Caribbean: The Curse of the Black Pearl (2003)
0000001321,  328106 ,  8.0 , The Help (2011)
0000001321,  499201 ,  8.0 , The Imitation Game (2014)
0000001321,  175776 ,  8.0 , Yip Man (2008)
0000001222,   29235 ,  8.0 , Song of the Sea (2014)
