title,aka,genres,year,votes,rating
300 (2006),"['300 (2006)', '300 (2006)', '300: The IMAX Experience (2006)']","['Action', 'Drama', 'Fantasy', 'War']",[2006],620212,7.7
The Terminator (1984),"['Terminator (1984)', 'Terminator (1984)', 'Terminator (1984)', 'Terminator (1984)', 'Terminator (1984)', 'Terminator (1985)', 'Terminator (1991)', 'The Terminator (1984)', 'The Terminator (1984)']","['Action', 'Sci-Fi']",[1984],617193,8.0
Snatch (2000),"['Diamonds (2000)', 'Lock, Stock... and Six Stolen Diamonds (2000)', 'Snatch (2000)', 'Snatch (2000)', 'Snatch - Lo strappo (2001)', 'Snatch - Schweine und Diamanten (2001)', 'Snatch - Schweine und Diamanten (2001)', ""Snatch'd (2000)"", 'The Guy Ritchie Project (1999)']","['Comedy', 'Crime']",[2000],616784,8.3
Die Hard (1988),"[""A un passo dall'inferno - Trappola di cristallo (1988)"", 'Die Hard (1988)', 'Die Hard - Trappola di cristallo (1988)', 'Stirb langsam (1988)', 'Stirb langsam (1988)', 'Stirb langsam (1991)', 'Trappola di cristallo (1988)']","['Action', 'Thriller']",[1988],608075,8.2
Star Wars: Episode VII - The Force Awakens (2015),"['Star Wars - Il risveglio della Forza (2015)', 'Star Wars: Das Erwachen der Macht (2015)', 'Star Wars: Episode 7 - The Force Awakens (2015)', 'Star Wars: Episode VII (2014)', 'Star Wars: Episode VII - Das Erwachen der Macht (2015)', 'Star Wars: Episode VII - The Force Awakens (2015)', 'Star Wars: Episodio VII - Il risveglio della Forza (2015)', 'Star Wars: The Force Awakens (2014)', 'Star Wars: The Force Awakens (2015)', 'Star Wars: The Force Awakens (2015)', 'Sutâ wôzu: Fôsu no kakusei (2015)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[2015],606279,8.2
"Monsters, Inc. (2001)","['Die Monster AG (2002)', 'Hidden City (1999)', 'Monsters & Co. (2002)', 'Monsters, Inc. 3D (2013)', 'Monsters, Incorporated (2001)']","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",[2001],605998,8.1
Gravity (2013),"['Gravity (2013)', 'Gravity (2013)']","['Adventure', 'Drama', 'Sci-Fi', 'Thriller']",[2013],598424,7.8
Gone Girl (2014),"['Gone Girl - Das perfekte Opfer (2014)', ""L'amore bugiardo - Gone Girl (2014)""]","['Crime', 'Drama', 'Mystery', 'Thriller']",[2014],597749,8.1
Donnie Darko (2001),"['Donnie Darko (2003)', 'Donnie Darko: Fürchte die Dunkelheit (2001)', ""Donnie Darko: The Director's Cut (2005)""]","['Drama', 'Sci-Fi', 'Thriller']",[2001],596730,8.1
The Hangover (2009),"['Hangover (2009)', 'Una notte da leoni (2009)']",['Comedy'],[2009],595082,7.8
Requiem for a Dream (2000),[],['Drama'],[2000],589731,8.4
Mad Max: Fury Road (2015),"['Mad Max 4 (2009)', 'Mad Max: Fury Road (2015)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2015],588485,8.1
Gran Torino (2008),"['Gran Torino (2008)', 'Gran Torino (2008)']",['Drama'],[2008],575828,8.2
Iron Man Three (2013),"['Caged Heat (2012)', 'Iron Man 3 (2013)', 'Iron Man 3 (2013)', 'Iron Man 3 (2013)', 'Marvel Iron Man 3 (2013)']","['Action', 'Adventure', 'Sci-Fi']",[2013],571073,7.2
Black Swan (2010),"['Black Swan (2010)', 'Il cigno nero (2010)']","['Drama', 'Thriller']",[2010],563503,8.0
